id,name,activity_type,distance,average_grade,maximum_grade,elevation_high,elevation_low,total_elevation_gain,kom,qom,climb_score,is_flat,custom_climb_category,country,region
21980902,klance s klancem,Ride,1885.1,4.1,7.9,653.6,573.7,79.9,2:55,5:00,3.2759,False,3.0,Slovenia,"Loška dolina, Cerknica"
4059115,Bloška polica climb,Ride,1873.8,5.2,13.8,756.2,658.8,97.4,3:54,5:35,5.0648,False,3.0,Slovenia,"Cerknica, Bloke"
23124346,Pukl šampionov,Ride,324.7,2.9,4.9,588.0,578.1,9.9,23s,36s,0.2871,False,2.0,Slovenia,Loška dolina
10240815,Iz Grahovega na Bloško planoto,Ride,5485.4,3.9,12.9,780.8,565.8,254.6,11:03,14:34,9.9294,False,4.0,,"Cerknica, Bloke"
16021458,Klance 2 downhill,Ride,2087.8,-4.5,4.0,657.0,561.7,0.0,1:57,2:43,0.0,False,1.0,Slovenia,"Loška dolina, Cerknica"
24862777,Spust skozi Bloško polico,Ride,2920.0,-5.8,-2.2,784.0,615.0,0.0,2:49,3:19,0.0,False,1.0,Slovenia,Cerknica
2086885,Segment,Ride,2445.92,5.8,14.6,811.4,670.4,141.0,4:04,8:42,8.178,False,4.0,Slovenia,Loška dolina
18383464,Križna gora vzpon,Ride,1188.8,9.9,38.1,859.7,739.2,127.0,5:35,9:32,12.573,False,4.0,Slovenia,Cerknica
15638664,Mali log-Bloke climb,Ride,1976.3,3.1,5.7,820.2,758.4,61.8,3:29,4:41,1.9158,False,2.0,Slovenia,"Loški Potok, Bloke"
25296881,medvedov vzpon,Ride,4909.8,2.6,15.6,840.2,706.8,148.4,8:48,12:23,3.8584,False,3.0,Slovenia,Bloke
1883649,Ravne Na Blokah 12 Climb,Ride,1883.97,5.7,20.3,869.0,760.8,116.263,4:03,5:38,6.626991,False,4.0,Slovenia,Bloke
25670325,Ravne - Vagovka,Ride,6766.9,2.0,34.5,882.2,748.0,240.0,13:33,19:43,4.8,False,3.0,Slovenia,"Bloke, Sodražica"
9750984,mali log climb,Ride,865.6,4.3,17.1,808.2,771.2,37.0,1:22,2:30,1.591,False,2.0,Slovenia,Loški Potok
26477845,Do viadukta,Ride,632.4,5.4,23.2,651.0,617.0,34.0,1:08,1:40,1.836,False,2.0,Slovenia,Loški Potok
21780235,Boncar,Ride,3211.9,5.9,10.1,780.6,591.0,189.6,7:49,11:33,11.1864,False,4.0,Slovenia,"Bloke, Sodražica"
8620672,Loski Potok Cerkev Climb,Ride,393.7,10.6,19.5,787.8,746.2,41.6,50s,1:22,4.4096,False,3.0,Slovenia,Loški Potok
11612184,Boncar spust,Ride,3293.1,-6.1,18.9,780.6,578.0,3.4,2:39,3:01,-0.2074,False,1.0,Slovenia,"Bloke, Sodražica"
4732136,Sodražica Hrib,Ride,4599.0,6.7,9.0,852.9,542.7,0.0,12:46,18:23,0.0,False,1.0,Slovenia,Sodražica
24261159,Jurjevica hupser,Ride,920.5,4.5,11.2,544.0,502.0,42.0,1:29,1:53,1.89,False,2.0,Slovenia,Ribnica
22130392,Skok na Vinice,Ride,739.4,1.3,5.7,545.6,536.2,9.4,43s,1:13,0.1222,True,0.0,Slovenia,Sodražica
25425054,Pod Novo Štifto - TT,Ride,771.6,0.4,6.9,527.6,521.4,9.2,52s,1:06,0.0368,True,0.0,Slovenia,"Sodražica, Ribnica"
14801681,Žlebič-Sodražica,Ride,5462.2,0.5,7.5,554.8,516.2,62.8,7:29,9:23,0.314,True,0.0,Slovenia,"Sodražica, Ribnica"
18578180,spusti proti Sodražici,Ride,4304.6,-6.6,-0.2,844.8,560.0,0.0,4:08,4:39,0.0,False,1.0,Slovenia,Sodražica
24465409,Turn/Rezinski vrh od odcepa,Ride,2553.2,6.7,17.4,1189.0,1016.8,172.2,9:16,,11.5374,False,4.0,Slovenia,Ribnica
25428667,Inotherm - Inles,Ride,1210.6,-0.3,0.0,499.0,495.4,0.0,1:15,1:26,0.0,True,0.0,Slovenia,Ribnica
25522057,Inles - Inotherm,Ride,1231.6,0.2,0.5,492.6,490.0,2.6,1:27,2:00,0.0052,True,0.0,Slovenia,Ribnica
15664441,Jasenca proti Kočevju,Ride,632.9,2.1,5.5,492.2,479.1,13.1,42s,1:07,0.2751,False,2.0,Slovenia,Ribnica
21451798,Sv. Ana DH,Ride,747.3,-12.6,-1.8,931.0,836.8,0.0,1:03,2:07,0.0,False,1.0,Slovenia,Ribnica
15608420,Gor. Ložine - Jasnica,Ride,925.1,2.2,4.4,492.6,472.0,20.6,47s,1:34,0.4532,False,2.0,Slovenia,Ribnica
21249574,Od vlake do Bašlja,Ride,1428.2,-5.0,3.7,808.4,733.1,6.9,2:00,2:36,-0.345,False,1.0,Slovenia,Ribnica
21601410,Črni Vrh spust,Ride,1725.1,-4.0,0.5,763.8,694.8,0.0,2:11,2:38,0.0,False,1.0,Slovenia,"Kocevje, Ribnica"
24261205,Ribnčan Urban,Ride,359.6,0.6,3.6,495.0,491.8,3.2,21s,29s,0.0192,True,0.0,Slovenia,Ribnica
24148759,Ložine-Kočevje,Ride,6036.2,0.1,5.3,480.4,471.4,24.0,7:02,9:18,0.024,True,0.0,Slovenia,Kocevje
12379833,mala gora,Ride,314.5,4.0,5.3,483.0,470.3,0.0,22s,37s,0.0,False,1.0,Slovenia,Kocevje
12278558,"Koč.Reka,Gotenica (od table do table)",Ride,40733.8,0.0,31.0,661.4,458.0,729.2,1:02:10,1:21:56,0.0,True,0.0,Slovenia,Kocevje
22826427,Hinjski krog,Ride,32900.6,0.0,17.1,537.6,397.4,449.6,53:54,1:13:25,0.0,True,0.0,Slovenia,Kocevje
15702069,vzpon Polom do novomeške ceste,Ride,5190.9,1.9,22.4,476.4,375.9,157.7,8:58,11:15,2.9963,False,3.0,Slovenia,Kocevje
23001285,Vzpon Seč - Žvirče,Ride,2001.9,4.3,14.8,461.8,376.2,90.0,4:05,5:58,3.87,False,3.0,Slovenia,"Kocevje, Žužemberk"
24511561,Krizisce-Hinje,Ride,3419.6,1.5,7.9,501.2,429.0,89.6,6:00,8:19,1.344,False,2.0,Slovenia,"Kocevje, Žužemberk"
13303198,Cvišlerji Onek,Ride,3021.5,1.8,18.3,557.2,497.9,0.0,4:36,,0.0,False,1.0,Slovenia,Kocevje
21782240,Željne climb kontra,Ride,1265.8,5.1,9.5,558.5,494.3,64.2,3:03,4:39,3.2742,False,3.0,Slovenia,Kocevje
26315678,Sv.Peter climb - last part,Ride,313.1,29.0,50.0,895.6,804.8,90.8,51s,3:48,26.332,False,5.0,Slovenia,Kocevje
26432192,Janezova koča - Macesnova gorica,Ride,3634.5,-5.3,-0.6,837.8,644.2,0.0,4:30,5:38,0.0,False,1.0,Slovenia,Kocevje
9692893,vzpod do Smuke,Ride,3849.3,2.6,15.6,471.5,369.9,114.2,6:35,8:45,2.9692,False,3.0,Slovenia,Kocevje
17651314,Rogarski klanci,Ride,689.8,9.3,22.0,773.4,709.0,64.4,2:33,4:41,5.9892,False,3.0,Slovenia,Dolenjske Toplice
15840506,baza20,Ride,5810.3,6.7,30.9,600.6,210.0,0.0,14:59,20:44,0.0,False,1.0,Slovenia,Dolenjske Toplice
7491770,Občice - Črmošnjice to top Climb,Ride,7778.1,4.0,12.6,509.2,194.4,314.8,14:59,16:30,12.592,False,4.0,Slovenia,"Semic, Dolenjske Toplice"
7200356,Kočevske poljane - Gače,Ride,10946.4,4.5,32.8,684.5,184.3,612.4,25:00,34:00,27.558,False,5.0,Slovenia,"Semic, Dolenjske Toplice"
18277270,Občice - Črmošnjice križišče za Gače,Ride,4738.9,3.7,9.1,402.2,224.8,180.2,8:41,9:20,6.6674,False,4.0,Slovenia,"Semic, Dolenjske Toplice"
26276729,vzponček Petane,Ride,482.4,4.3,18.1,232.5,210.2,22.3,53s,1:32,0.9589,False,2.0,Slovenia,Novo Mesto
13187898,Dobindol (spodaj) - Toplice,Ride,6002.8,-0.8,12.5,228.7,180.9,76.3,7:18,9:16,-0.6104,True,0.0,Slovenia,"Dolenjske Toplice, Novo Mesto"
